##,Player,GS,MIN,FG,FGA,3PT,3PTA,FT,FTA,ORB,DRB,PF,A,TO,BLK,STL,PTS,Opponent,Opp_score,UM_score,Date,Court,Result
55,"55 Brooks, Eli",*,18,3,6,2,4,0,0,2,2,0,2,1,1,0,8,UC Riverside,42,87,11/26/17,home,W
12,"12 Abdur-Rahkman, M-A",*,27,1,2,0,1,0,0,0,4,0,5,1,1,1,2,UC Riverside,42,87,11/26/17,home,W
2,"2 Poole, Jordan",,11,4,9,3,6,0,1,0,0,0,0,0,1,0,11,UC Riverside,42,87,11/26/17,home,W
4,"4 Livers, Isaiah",,11,3,6,0,2,0,0,1,2,1,0,1,1,0,6,UC Riverside,42,87,11/26/17,home,W
0,"0 Hibbitts, Brent",,4,2,3,1,1,0,0,1,1,1,0,0,1,0,5,UC Riverside,42,87,11/26/17,home,W
23,"23 Watson, Ibi",,7,2,3,0,1,0,0,1,1,0,1,0,0,0,4,UC Riverside,42,87,11/26/17,home,W
3,"3 Simpson, Zavier",,13,0,1,0,1,0,0,0,2,0,0,0,0,1,0,UC Riverside,42,87,11/26/17,home,W
15,"15 Teske, Jon",,11,0,2,0,1,0,0,1,1,2,0,0,1,2,0,UC Riverside,42,87,11/26/17,home,W
5,"5 Simmons, Jaaron",,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,UC Riverside,42,87,11/26/17,home,W
51,"51 Davis, Austin",,7,0,1,0,0,0,0,0,4,2,0,1,1,0,0,UC Riverside,42,87,11/26/17,home,W
11,"11 Wilson, Luke",,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,UC Riverside,42,87,11/26/17,home,W
24,"24 Baird, CJ",,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,UC Riverside,42,87,11/26/17,home,W
25,"25 Ozeir, Naji",,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UC Riverside,42,87,11/26/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,UC Riverside,42,87,11/26/17,home,W
,Totals,-,200,34,63,13,28,6,11,10,34,6,24,11,7,10,87,UC Riverside,42,87,11/26/17,home,W
13,"13 Wagner, Moritz",*,34,9,13,1,3,1,2,2,7,1,3,1,1,2,20,North Carolina,86,71,11/29/17,away,L
1,"1 Matthews, Charles",*,28,5,10,2,4,0,0,0,1,3,3,4,1,1,12,North Carolina,86,71,11/29/17,away,L
55,"55 Brooks, Eli",*,18,1,5,1,4,1,2,1,2,0,2,1,0,1,4,North Carolina,86,71,11/29/17,away,L
22,"22 Robinson, Duncan",*,21,1,6,1,5,0,0,1,1,3,2,0,1,0,3,North Carolina,86,71,11/29/17,away,L
12,"12 Abdur-Rahkman, M-A",*,28,1,6,0,4,0,0,0,1,3,3,1,0,0,2,North Carolina,86,71,11/29/17,away,L
4,"4 Livers, Isaiah",,18,4,7,1,2,0,0,3,2,3,1,0,0,1,9,North Carolina,86,71,11/29/17,away,L
23,"23 Watson, Ibi",,12,3,7,1,4,0,1,1,1,0,0,0,0,0,7,North Carolina,86,71,11/29/17,away,L
2,"2 Poole, Jordan",,12,1,6,1,5,1,2,0,0,1,0,0,1,1,4,North Carolina,86,71,11/29/17,away,L
3,"3 Simpson, Zavier",,13,1,2,1,2,0,0,0,1,0,0,2,0,1,3,North Carolina,86,71,11/29/17,away,L
5,"5 Simmons, Jaaron",,9,1,1,1,1,0,0,0,0,1,2,1,0,0,3,North Carolina,86,71,11/29/17,away,L
15,"15 Teske, Jon",,4,0,2,0,0,2,4,0,1,0,0,0,0,1,2,North Carolina,86,71,11/29/17,away,L
0,"0 Hibbitts, Brent",,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,North Carolina,86,71,11/29/17,away,L
51,"51 Davis, Austin",,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,North Carolina,86,71,11/29/17,away,L
TM,0 TEAM,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,North Carolina,86,71,11/29/17,away,L
,Totals,-,200,28,66,10,34,5,11,13,18,16,16,10,6,8,71,North Carolina,86,71,11/29/17,away,L
13,"13 Wagner, Moritz",*,28,6,10,0,2,1,2,1,6,4,3,2,3,1,13,Indiana,55,69,12/02/17,home,W
12,"12 Abdur-Rahkman, M-A",*,37,2,5,2,2,2,2,0,11,1,3,1,0,0,8,Indiana,55,69,12/02/17,home,W
1,"1 Matthews, Charles",*,19,3,5,1,3,1,2,2,1,2,1,1,0,0,8,Indiana,55,69,12/02/17,home,W
22,"22 Robinson, Duncan",*,24,2,10,2,9,0,0,0,3,4,2,0,0,1,6,Indiana,55,69,12/02/17,home,W
55,"55 Brooks, Eli",*,22,2,4,1,2,0,0,0,1,0,6,0,0,2,5,Indiana,55,69,12/02/17,home,W
2,"2 Poole, Jordan",,27,7,12,5,10,0,0,0,3,0,0,2,0,0,19,Indiana,55,69,12/02/17,home,W
15,"15 Teske, Jon",,12,2,3,0,0,2,2,0,3,3,0,1,0,1,6,Indiana,55,69,12/02/17,home,W
4,"4 Livers, Isaiah",,10,2,4,0,2,0,0,1,0,1,0,2,0,0,4,Indiana,55,69,12/02/17,home,W
3,"3 Simpson, Zavier",,18,0,2,0,1,0,2,0,0,0,1,0,0,0,0,Indiana,55,69,12/02/17,home,W
23,"23 Watson, Ibi",,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Indiana,55,69,12/02/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Indiana,55,69,12/02/17,home,W
,Totals,-,200,26,55,11,31,6,10,4,30,15,16,10,3,5,69,Indiana,55,69,12/02/17,home,W
13,"13 Wagner, Moritz",*,31,5,13,2,5,2,2,3,6,4,0,3,0,2,14,Ohio State,71,62,12/04/17,away,L
12,"12 Abdur-Rahkman, M-A",*,37,3,10,1,4,4,4,2,3,3,3,0,0,1,11,Ohio State,71,62,12/04/17,away,L
55,"55 Brooks, Eli",*,13,3,5,2,4,0,0,0,1,1,1,1,0,1,8,Ohio State,71,62,12/04/17,away,L
1,"1 Matthews, Charles",*,32,2,9,0,3,0,0,1,2,3,3,2,0,0,4,Ohio State,71,62,12/04/17,away,L
22,"22 Robinson, Duncan",*,30,1,7,1,5,0,0,0,2,5,2,0,0,0,3,Ohio State,71,62,12/04/17,away,L
3,"3 Simpson, Zavier",,20,4,5,1,1,2,3,1,3,0,1,1,0,0,11,Ohio State,71,62,12/04/17,away,L
2,"2 Poole, Jordan",,8,2,5,0,3,1,3,0,0,1,0,0,0,0,5,Ohio State,71,62,12/04/17,away,L
15,"15 Teske, Jon",,9,1,2,0,0,1,1,2,1,2,0,1,0,0,3,Ohio State,71,62,12/04/17,away,L
23,"23 Watson, Ibi",,3,1,2,1,2,0,0,0,0,0,0,0,0,0,3,Ohio State,71,62,12/04/17,away,L
4,"4 Livers, Isaiah",,10,0,1,0,1,0,0,1,2,0,0,0,0,1,0,Ohio State,71,62,12/04/17,away,L
5,"5 Simmons, Jaaron",,7,0,0,0,0,0,1,1,0,1,3,0,0,0,0,Ohio State,71,62,12/04/17,away,L
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ohio State,71,62,12/04/17,away,L
,Totals,-,200,22,59,8,28,10,14,11,21,20,13,8,0,5,62,Ohio State,71,62,12/04/17,away,L
13,"13 Wagner, Moritz",*,35,10,16,3,5,0,3,1,2,4,2,0,0,2,23,UCLA,69,78,12/09/17,home,W
1,"1 Matthews, Charles",*,31,8,11,2,3,2,10,1,7,3,3,4,0,1,20,UCLA,69,78,12/09/17,home,W
